Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,,
American Samoa,ASM,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,,
Antigua and Barbuda,ATG,,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,,
Australia,AUS,,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7692020,7692020,7692020,7692020,7692020,,
Austria,AUT,,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,,
Azerbaijan,AZE,,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83092,82705,82605,82604,82618,82652,82672,82660,82637,82629,82627,82622,82656,82658,82658,82659,82663,82663,82670,82662,82654,82654,82646,,
Burundi,BDI,,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,,
Belgium,BEL,,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,,
Benin,BEN,,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,,
Burkina Faso,BFA,,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,,
Bangladesh,BGD,,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,,
Bulgaria,BGR,,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,108800,108770,108760,108640,108630,108610,108610,108560,108560,108560,108560,108560,108560,108560,108560,108560,108560,108560,108560,,
Bahrain,BHR,,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,710,710,710,710,710,710,710,710,710,710,710,720,730,740,740,750,760,760,762,767,770,770,771,778,779,780,780,783,785,,
Bahamas The,BHS,,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,,
Bosnia and Herzegovina,BIH,,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,,
Belarus,BLR,,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202892,202878,202868,202854,202855,202829,202835,202848,202844,202829,202826,202815,202833,202904,202901,202902,202898,202902,202910,202899,202908,202973,202978,202988,202988,202980,202965,202980,,
Belize,BLZ,,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,,
Bermuda,BMU,,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,,
Bolivia,BOL,,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,,
Brazil,BRA,,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,,
Barbados,BRB,,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,,
Brunei Darussalam,BRN,,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,,
Bhutan,BTN,,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,38117,38117,38117,38117,38117,38117,38117,38117,38117,38117,38117,38117,38144,38144,38140,38140,38140,,
Botswana,BWA,,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,,
Central African Republic,CAF,,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,,
Canada,CAN,,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,,
Central Europe and the Baltics,CEB,,1106017,1105997,1106007,1106007,1105997,1105987,1105977,1105967,1105967,1105957,1105947,1105947,1105947,1105947,1105947,1105927,1105937,1105947,1105897,1105887,1105877,1105867,1105857,1105857,1105857,1105857,1105857,1105847,1104857,1104857,1104967,1104967,1104957,1105007,1104987,1105087,1105037,1105027,1105037,1104969,1104969,1103299,1103361,1103471,1103321,1103291,1103181,1103162.2,1104161.8,1104143.2,1104209,1104048.7,1105114,1105841,1105835.6,1105825,1105100.1,1105067.4,1104992.9,1105004.93,,
Switzerland,CHE,,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39529,39529,39529,39529,39529,39529,39529,39529,39529,39529,39529,39529,39528,39527,39526,39525,39524,39523,39522,39521,39520,39518,39517,39516,39516,39516,39516,39516,39516,39516,39516,39516.03,39516.03,39516.03,39516.03,39516.03,39516.03,,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,,
China,CHN,,9424700,9424700,9424700,9424700,9424700,9424700,9424700,9424700,9424700,9424700,9424700,9424700,9424700,9424700,9424690,9424690,9424680,9424680,9424680,9424680,9424680,9424670,9424670,9424670,9424670,9424670,9424670,9424670,9424670,9424670,9424670,9424670,9424670,9424670,9424720,9424710,9424710,9424710,9424710,9424700,9424700.2,9424700.2,9424699.7,9424700.5,9424699.8,9424700,9424700,9424700,9424700.5,9424700.7,9424700.9,9424700.9,9424701.3,9424701.3,9424701.4,9424700.5,9424700.8,9424702.9,9424702.9,9424702.9,,
Cote d'Ivoire,CIV,,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,,
Cameroon,CMR,,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,,
Congo Dem. Rep.,COD,,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,,
Congo Rep.,COG,,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,,
Colombia,COL,,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,,
Comoros,COM,,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,,
Cabo Verde,CPV,,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,,
Costa Rica,CRI,,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,,
Caribbean small states,CSS,,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404940,404940,404940,404940,404940,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,,
Cuba,CUB,,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,106390,106400,106410,106440,106430,106440,106440,106440,106440,106863,106649,104220,104020,104100,104040,103800,103800,103800,103800,,
Curacao,CUW,,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,,
Cayman Islands,CYM,,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,,
Cyprus,CYP,,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,,
Czechia,CZE,,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77260,77260,77250,77250,77240,77240,77230,77230,77230,77220,77220,77210,77210,77210,77210,77205.5,77198.53,,
Germany,DEU,,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349120,349110,349100,349090,349050,349020,348980,348950,348900,348860,348810,348770,348760,348720,348670,348630,348610,348570,348560,348540,348880,348900,348860,349360,349370,349380,349390,349390,,
Djibouti,DJI,,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,,
Dominica,DMA,,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,,
Denmark,DNK,,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,,
Dominican Republic,DOM,,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,,
Algeria,DZA,,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381741,2381741,2381741,2381741,2381741,2381741,,
East Asia & Pacific (excluding high income),EAP,,15960278.742,15960278.742,15960278.742,15960278.742,15960278.742,15960278.742,15960278.742,15960278.742,15960278.742,15960278.742,15960278.742,15960278.742,15960248.742,15960208.742,15960178.742,15960178.742,15960168.742,15960168.742,15960168.742,15960168.742,15960168.742,15960158.742,15960158.742,15960158.742,15960158.742,15960158.742,15960158.742,15960158.742,15960158.742,15960158.742,15960158.742,15960158.742,15960158.742,15960158.742,15960208.742,15960198.742,15960198.742,15960198.742,15960198.742,16011707.742,16011737.942,16011198.168,16017964.758,16017603.519,16020309.891,16023393.093,16023206.093,16023236.087,16023196.634,16023516.118,16023495.847,16023528.846,16023010.683,16023374.221,16023388.8,16023091.9,16023028.2,16023005.9,16023008.9,16023227.703,,
Early-demographic dividend,EAR,,33246833,33246833,33246833,33246833,33246833,33246833,33246833,33246833,33246833,33246833,33246833,33246833,33246803,33246763,33246743,33246613,33246613,33246613,33246613,33246613,33246613,33246613,33246613,33246613,33246613,33246613,33246613,33246613,33246613,33246613,33246613,33246633,33145633,33138710,33138710,33138710,33138710,33110230,33110230,33187094,33187040,33187040,33186826,33313586.297,33313534.766,33313719.221,33313941.059,33313661.396,33314189.692,33314070.952,33314027.061,33313888.022,33313797.048,33312370.282,33317194.353,33316932.509,33310584.82,33310598.429,33310592.858,33310653.265,,
East Asia & Pacific,EAS,,24434398.742,24434398.742,24434398.742,24434398.742,24434398.742,24434398.742,24434398.742,24434398.742,24434398.742,24434398.742,24434398.742,24434298.742,24434268.742,24434228.742,24434088.742,24434088.742,24433968.742,24433968.742,24433968.742,24433868.742,24433968.742,24433748.742,24433748.742,24432248.742,24432148.742,24432248.742,24432148.742,24432148.742,24432148.742,24432148.742,24432148.742,24432148.742,24432148.742,24432148.742,24432258.742,24432148.742,24432148.742,24432148.742,24432148.742,24483468.742,24483784.942,24483301.168,24490089.758,24489751.519,24492487.891,24495606.693,24495461.293,24495566.287,24495597.134,24496058.818,24496030.747,24496185.746,24495784.983,24496154.521,24496184.2,24505651.4,24505612,24505603.8,24505688.8,24505909.603,,
Europe & Central Asia (excluding high income),ECA,,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22398265,22394539,22389665,22386695,22386261,22386942,22389431,22396250,22399538,22398579,22397238,22397235,22397470,22397562,22393931,22393804,22392906,22392815,22392760,22392687,22392677,22392696,22391561,22396381,22396389,22396398,22396476.3,22396429.9,22396530.6,,
